Wavelength_nm,SPD_W_sr_m2_nm,x_bar,y_bar,z_bar,S_x_x_bar,S_x_y_bar,S_x_z_bar
730,7.77000000e-06,1.43997100e-03,5.20000000e-04,0.00000000e+00,1.11885747e-08,4.04040000e-09,0.00000000e+00
731,8.02000000e-06,1.34004200e-03,4.83913600e-04,0.00000000e+00,1.07471368e-08,3.88098707e-09,0.00000000e+00
732,6.97000000e-06,1.24627500e-03,4.50052800e-04,0.00000000e+00,8.68653675e-09,3.13686802e-09,0.00000000e+00
733,6.48000000e-06,1.15847100e-03,4.18345200e-04,0.00000000e+00,7.50689208e-09,2.71087690e-09,0.00000000e+00
734,6.38000000e-06,1.07643000e-03,3.88718400e-04,0.00000000e+00,6.86762340e-09,2.48002339e-09,0.00000000e+00
735,8.92000000e-06,9.99949300e-04,3.61100000e-04,0.00000000e+00,8.91954776e-09,3.22101200e-09,0.00000000e+00
736,9.06000000e-06,9.28735800e-04,3.35383500e-04,0.00000000e+00,8.41434635e-09,3.03857451e-09,0.00000000e+00
737,8.19000000e-06,8.62433200e-04,3.11440400e-04,0.00000000e+00,7.06332791e-09,2.55069688e-09,0.00000000e+00
738,6.86000000e-06,8.00750300e-04,2.89165600e-04,0.00000000e+00,5.49314706e-09,1.98367602e-09,0.00000000e+00
739,4.95000000e-06,7.43396000e-04,2.68453900e-04,0.00000000e+00,3.67981020e-09,1.32884681e-09,0.00000000e+00
740,8.14000000e-06,6.90078600e-04,2.49200000e-04,0.00000000e+00,5.61723980e-09,2.02848800e-09,0.00000000e+00
741,8.45000000e-06,6.40515600e-04,2.31301900e-04,0.00000000e+00,5.41235682e-09,1.95450106e-09,0.00000000e+00
742,8.50000000e-06,5.94502100e-04,2.14685600e-04,0.00000000e+00,5.05326785e-09,1.82482760e-09,0.00000000e+00
743,8.89000000e-06,5.51864600e-04,1.99288400e-04,0.00000000e+00,4.90607629e-09,1.77167388e-09,0.00000000e+00
744,6.03000000e-06,5.12429000e-04,1.85047500e-04,0.00000000e+00,3.08994687e-09,1.11583643e-09,0.00000000e+00
745,6.70000000e-06,4.76021300e-04,1.71900000e-04,0.00000000e+00,3.18934271e-09,1.15173000e-09,0.00000000e+00
746,7.14000000e-06,4.42453600e-04,1.59778100e-04,0.00000000e+00,3.15911870e-09,1.14081563e-09,0.00000000e+00
747,7.38000000e-06,4.11511700e-04,1.48604400e-04,0.00000000e+00,3.03695635e-09,1.09670047e-09,0.00000000e+00
748,8.02000000e-06,3.82981400e-04,1.38301600e-04,0.00000000e+00,3.07151083e-09,1.10917883e-09,0.00000000e+00
749,7.42000000e-06,3.56649100e-04,1.28792500e-04,0.00000000e+00,2.64633632e-09,9.55640350e-10,0.00000000e+00
750,7.09000000e-06,3.32301100e-04,1.20000000e-04,0.00000000e+00,2.35601480e-09,8.50800000e-10,0.00000000e+00
751,7.20000000e-06,3.09758600e-04,1.11859500e-04,0.00000000e+00,2.23026192e-09,8.05388400e-10,0.00000000e+00
752,6.23000000e-06,2.88887100e-04,1.04322400e-04,0.00000000e+00,1.79976663e-09,6.49928552e-10,0.00000000e+00
753,6.67000000e-06,2.69539400e-04,9.73356000e-05,0.00000000e+00,1.79782780e-09,6.49228452e-10,0.00000000e+00
754,6.57000000e-06,2.51568200e-04,9.08458700e-05,0.00000000e+00,1.65280307e-09,5.96857366e-10,0.00000000e+00
755,6.92000000e-06,2.34826100e-04,8.48000000e-05,0.00000000e+00,1.62499661e-09,5.86816000e-10,0.00000000e+00
756,7.77000000e-06,2.19171000e-04,7.91466700e-05,0.00000000e+00,1.70295867e-09,6.14969626e-10,0.00000000e+00
757,7.03000000e-06,2.04525800e-04,7.38580000e-05,0.00000000e+00,1.43781637e-09,5.19221740e-10,0.00000000e+00
